BAG ID,Lot #,Variant #,Volume(mL),Volume(mL),Notes
C20,5346,2,7.5 ,,
C20,5368,9,15.0 ,,
C20,5368,11,8.0 ,,
C20,5368,12,6.0 ,,
C20,5368,16,10.0 ,,
C20,5368,17,9.0 ,,
C20,5368,18,11.0 ,,
C20,5378,1,7.0 ,,
C20,5381,1,10.0 ,,
C20,4773,1,6.0 ,,
C20,4988,1,2.0 ,,
C20,221,4,4.0 ,,
C20,0,furin,12.0 ,,
C20,3156,1,17.0 ,,
C20,5004,1,17.0 ,,
C20,5314,1,20.0 ,,
C20,5314,2,18.0 ,,
